ticker,sector
ADS.DE,Consumer Discretionary
ADYEN.AS,Financials
AD.AS,Consumer Staples
AI.PA,Materials
AIR.PA,Industrials
ALV.DE,Financials
ABI.BR,Consumer Staples
ARGX.BR,Health Care
ASML.AS,Information Technology
CS.PA,Financials
BAS.DE,Materials
BAYN.DE,Health Care
BBVA.MC,Financials
SAN.MC,Financials
BMW.DE,Consumer Discretionary
BNP.PA,Financials
BN.PA,Consumer Staples
DB1.DE,Financials
DB1.DE,Financials
DHL.DE,Industrials
DTE.DE,Communication
ENEL.MI,Utilities
ENI.MI,Energy
EL.PA,Health Care
RACE.MI,Consumer Discretionary
RMS.PA,Consumer Discretionary
IBE.MC,Utilities
ITX.MC,Consumer Discretionary
IFX.DE,Information Technology
INGA.AS,Financials
ISP.MI,Financials
OR.PA,Consumer Staples
MC.PA,Consumer Discretionary
MBG.DE,Consumer Discretionary
MUV2.DE,Financials
NDA-FI.HE,Financials
PRX.AS,Consumer Discretionary
RHM.DE,Industrials
SAF.PA,Industrials
SGO.PA,Industrials
SAN.PA,Health Care
SAP.DE,Information Technology
SU.PA,Industrials
SIE.DE,Industrials
ENR.DE,Industrials
TTE.PA,Energy
DG.PA,Industrials
UCG.MI,Financials
VOW.DE,Consumer Discretionary
WKL.AS,Industrials
